ticker,mom_12_1,rank,pct_rank
MAT,-0.17419035246550074,2205.0,0.9003674969375255
KBH,-0.17634539409696337,2206.0,0.9007758268681094
VRTX,-0.1771923072213073,2207.0,0.9011841567986933
KHC,-0.1777807368322727,2208.0,0.9015924867292773
BMRN,-0.17802397406121628,2209.0,0.9020008166598612
AAON,-0.17858402791992656,2210.0,0.9024091465904451
WU,-0.17896644179546783,2211.0,0.902817476521029
GDDY,-0.17967626302382889,2212.0,0.9032258064516129
EXP,-0.18000321501905692,2213.0,0.9036341363821968
FUL,-0.18005959117729786,2214.0,0.9040424663127807
LFST,-0.18032787351237123,2215.0,0.9044507962433647
WY,-0.18069379704812472,2216.0,0.9048591261739486
IEP,-0.1816155219431348,2217.0,0.9052674561045324
CRM,-0.18167779730792977,2218.0,0.9056757860351163
BDX,-0.1819539568656222,2219.0,0.9060841159657003
MTH,-0.1820308887314831,2220.0,0.9064924458962842
FIZZ,-0.1830051053127445,2221.0,0.9069007758268681
INTA,-0.1847717157941703,2222.0,0.907309105757452
BC,-0.18521388619171875,2223.0,0.907717435688036
BFAM,-0.18655878697944128,2224.0,0.9081257656186198
DHR,-0.18805463941478184,2225.0,0.9085340955492037
OC,-0.18877181493294248,2226.0,0.9089424254797877
ELV,-0.18911613932135707,2227.0,0.9093507554103716
GPN,-0.19008812261704733,2228.0,0.9097590853409555
WHR,-0.1909716051679452,2229.0,0.9101674152715394
GIB-A.TO,-0.19309944616387031,2230.0,0.9105757452021234
OLED,-0.19400899636954816,2231.0,0.9109840751327072
AMTM,-0.19468725799391706,2232.0,0.9113924050632911
BIIB,-0.19494251821232944,2233.0,0.911800734993875
TPL,-0.19504524804491363,2234.0,0.912209064924459
FLR,-0.19529455476031599,2235.0,0.9126173948550429
HUBG,-0.19596735044146263,2236.0,0.9130257247856268
ATR,-0.19706245154967272,2237.0,0.9134340547162108
ALSN,-0.19735418277763694,2238.0,0.9138423846467946
IVN.TO,-0.19826179515386344,2239.0,0.9142507145773785
EPAM,-0.20068911653994537,2240.0,0.9146590445079624
AVY,-0.20087838936735458,2241.0,0.9150673744385464
MUSA,-0.20145016228335244,2242.0,0.9154757043691303
CLX,-0.20148140096200673,2243.0,0.9158840342997142
FG,-0.20164448374800126,2244.0,0.916292364230298
HPQ,-0.202241156003497,2245.0,0.916700694160882
KDP,-0.20224898175494532,2246.0,0.9171090240914659
TNET,-0.2041187408295364,2247.0,0.9175173540220498
ARE,-0.20557551801217389,2248.0,0.9179256839526337
EXAS,-0.20629625936089513,2249.0,0.9183340138832177
KNF,-0.21013149416737797,2250.0,0.9187423438138016
DAR,-0.21068779449052766,2251.0,0.9191506737443854
OKE,-0.21128682557164946,2252.0,0.9195590036749693
WD,-0.21128975037437747,2253.0,0.9199673336055533
BCE.TO,-0.21203385373460015,2254.0,0.9203756635361372
ICLR,-0.21210211373146048,2255.0,0.9207839934667211
AMR,-0.21224198783560289,2256.0,0.9211923233973051
CSL,-0.212765105928442,2257.0,0.921600653327889
RNG,-0.21299634897119146,2258.0,0.9220089832584728
OWL,-0.2134767900141048,2259.0,0.9224173131890567
BIO,-0.21720312477368897,2260.0,0.9228256431196407
CRVL,-0.22013296388843673,2261.0,0.9232339730502246
IOT,-0.22054824677985774,2262.0,0.9236423029808085
GMED,-0.22124014489002275,2263.0,0.9240506329113924
MANH,-0.22167372748783842,2264.0,0.9244589628419763
UHAL,-0.22173737529274784,2265.0,0.9248672927725602
ZBRA,-0.2220331368629923,2266.0,0.9252756227031441
VNOM,-0.22260449588693942,2267.0,0.925683952633728
CROX,-0.22509735403228226,2268.0,0.926092282564312
LEN,-0.2257212465912699,2269.0,0.9265006124948959
QDEL,-0.22601836127620012,2270.0,0.9269089424254798
UFPI,-0.22602301228934818,2271.0,0.9273172723560636
RXRX,-0.22784810413097167,2272.0,0.9277256022866476
CHH,-0.22869736175020705,2273.0,0.9281339322172315
KNX,-0.23014384887157036,2274.0,0.9285422621478154
SHAK,-0.23062380193045595,2275.0,0.9289505920783994
CBZ,-0.23168433410704603,2276.0,0.9293589220089833
PSN,-0.23335803105197306,2277.0,0.9297672519395672
IEX,-0.23351566366302234,2278.0,0.930175581870151
LW,-0.2340273576966313,2279.0,0.930583911800735
GIS,-0.23444230587671067,2280.0,0.9309922417313189
WFG.TO,-0.23485130817999988,2281.0,0.9314005716619028
SHOO,-0.23498620346764687,2282.0,0.9318089015924867
NSA,-0.23547984355210227,2283.0,0.9322172315230707
AMCR,-0.235836471261343,2284.0,0.9326255614536546
WDFC,-0.23639242260387805,2285.0,0.9330338913842384
APGE,-0.23654883083635825,2286.0,0.9334422213148224
ARDT,-0.23850573043178103,2287.0,0.9338505512454063
HLNE,-0.2391152075542753,2288.0,0.9342588811759902
SNDR,-0.24057729064787337,2289.0,0.9346672111065741
TECH,-0.24163419935932107,2290.0,0.9350755410371581
CNR,-0.24273074484284263,2291.0,0.9354838709677419
CFLT,-0.24340851435471156,2292.0,0.9358922008983258
AXTA,-0.24525310598058436,2293.0,0.9363005308289097
CRGY,-0.24837906010437516,2294.0,0.9367088607594937
SGRY,-0.2486111123988658,2295.0,0.9371171906900776
JBHT,-0.24877612730377718,2296.0,0.9375255206206615
FICO,-0.24914829573095354,2297.0,0.9379338505512455
PCG,-0.2495921821989554,2298.0,0.9383421804818293
FIS,-0.2498268625179464,2299.0,0.9387505104124132
AKAM,-0.2504946501400358,2300.0,0.9391588403429971
DBRG,-0.25143001106715646,2301.0,0.939567170273581
EXPO,-0.25303156853656683,2302.0,0.939975500204165
