ticker,mom_12_1,rank,pct_rank
RGC,87.95465168394345,1.0,0.0004083299305839118
QBTS,22.311321149393542,2.0,0.0008166598611678236
RGTI,21.568181614984166,3.0,0.0012249897917517355
MFH,20.7522124136537,4.0,0.0016333197223356473
QUBT,15.437499793778574,5.0,0.002041649652919559
SUPX,12.301031629838288,6.0,0.002449979583503471
QMMM,11.594937477994064,7.0,0.0028583095140873828
QURE,9.204545642112524,8.0,0.0032666394446712946
ONDS,9.078329065427925,9.0,0.0036749693752552064
FMCC,8.124031632416944,10.0,0.004083299305839118
BE,7.80937461815776,11.0,0.00449162923642303
FNMA,7.66906497463801,12.0,0.004899959167006942
CDTX,6.366154010479266,13.0,0.005308289097590854
TMC,5.440849081103116,14.0,0.0057166190281747655
HOOD,5.095359475134028,15.0,0.006124948958758677
PL,4.873302858908419,16.0,0.006533278889342589
DSV.TO,4.431578854906922,17.0,0.006941608819926501
DAVE,4.169865119392798,18.0,0.007349938750510413
IREN,4.14583343136729,19.0,0.007758268681094325
OKLO,3.9701692699796913,20.0,0.008166598611678236
ORBS,3.6212118840341665,21.0,0.008574928542262147
OPEN,3.554285594395229,22.0,0.00898325847284606
RKLB,3.47757015901316,23.0,0.009391588403429971
PLTR,3.3893164615287876,24.0,0.009799918334013884
GRAL,3.3574062194465792,25.0,0.010208248264597795
PSIX,3.349867207819826,26.0,0.010616578195181707
APP,3.241926799789895,27.0,0.011024908125765618
BBAI,3.1006288327379004,28.0,0.011433238056349531
IONQ,3.091816439962267,29.0,0.011841567986933442
KTOS,3.021567143836842,30.0,0.012249897917517355
SSRM.TO,2.9511625622078395,31.0,0.012658227848101266
CGG.TO,2.940076947633346,32.0,0.013066557778685178
CRDO,2.862334155533805,33.0,0.01347488770926909
INOD,2.8324215492640348,34.0,0.013883217639853002
MP,2.7281823539820693,35.0,0.014291547570436913
EOSE,2.6623796551516636,36.0,0.014699877501020826
CLS.TO,2.5943535433285243,37.0,0.015108207431604737
APLD,2.393491088365258,38.0,0.01551653736218865
JOBY,2.3624997392296896,39.0,0.015924867292772562
METC,2.3488872737854103,40.0,0.016333197223356473
SGHC,2.3281360973938625,41.0,0.016741527153940384
SOUN,2.1968189369754967,42.0,0.017149857084524295
CELC,2.187096872637349,43.0,0.017558187015108206
ADPT,2.0909090013453895,44.0,0.01796651694569212
VSAT,2.0520831325815863,45.0,0.01837484687627603
SATS,2.047087080513632,46.0,0.018783176806859942
ACHR,2.041269724973958,47.0,0.019191506737443853
HIMS,2.0122146282802365,48.0,0.019599836668027767
LEU,1.9868992834645338,49.0,0.02000816659861168
CDE,1.9130434879186566,50.0,0.02041649652919559
GH,1.8555759569803953,51.0,0.0208248264597795
MLYS,1.834080556398396,52.0,0.021233156390363415
LUG.TO,1.8116295183033775,53.0,0.021641486320947326
EYE,1.806730923532741,54.0,0.022049816251531237
ALAB,1.7907638659018716,55.0,0.022458146182115148
XMTR,1.7677845719533702,56.0,0.022866476112699062
DAN,1.6934492295454344,57.0,0.023274806043282973
RBLX,1.6782676141355628,58.0,0.023683135973866884
INDV,1.6759156490436267,59.0,0.024091465904450795
AU,1.630537734192754,60.0,0.02449979583503471
NGD.TO,1.603133280843895,61.0,0.02490812576561862
PGY,1.577256888392625,62.0,0.02531645569620253
TTMI,1.5668447906986667,63.0,0.025724785626786442
NG.TO,1.5571726272468718,64.0,0.026133115557370357
CIFR,1.5537526553688825,65.0,0.026541445487954268
LITE,1.5475185444639186,66.0,0.02694977541853818
EFR.TO,1.5410227380455055,67.0,0.02735810534912209
TPC,1.530478246328336,68.0,0.027766435279706004
OGC.TO,1.5271859216339498,69.0,0.028174765210289915
UI,1.5023558406663975,70.0,0.028583095140873826
K.TO,1.4815236953554818,71.0,0.028991425071457737
NET,1.4465853218311064,72.0,0.02939975500204165
WDC,1.4394516897149692,73.0,0.029808084932625562
TPR,1.4295539754511446,74.0,0.030216414863209473
AMSC,1.4221043344574653,75.0,0.030624744793793384
STX,1.4090277334954044,76.0,0.0310330747243773
WBD,1.4022140727840005,77.0,0.03144140465496121
MRCY,1.3925813037609962,78.0,0.031849734585545124
QS,1.3922329061520613,79.0,0.03225806451612903
IRTC,1.3742407467790971,80.0,0.032666394446712946
SOFI,1.3652640909434752,81.0,0.03307472437729685
TLN,1.345500680697135,82.0,0.03348305430788077
IMG.TO,1.3260025223636944,83.0,0.03389138423846468
GMIN.TO,1.3254835004322012,84.0,0.03429971416904859
IDCC,1.313746809457351,85.0,0.034708044099632504
IHS,1.3118644276010487,86.0,0.03511637403021641
GSAT,1.310476151723711,87.0,0.035524703960800326
COMM,1.3001485138728794,88.0,0.03593303389138424
CVI,1.2943396488966958,89.0,0.03634136382196815
CIEN,1.29365457437834,90.0,0.03674969375255206
ARQT,1.2683513152384647,91.0,0.03715802368313598
LMND,1.251998222482705,92.0,0.037566353613719884
OLA.TO,1.2436472497009432,93.0,0.0379746835443038
SEZL,1.222957083645079,94.0,0.038383013474887706
BBIO,1.2187099088106468,95.0,0.03879134340547162
DPM.TO,1.204586041538826,96.0,0.039199673336055535
HUT,1.2045599403032488,97.0,0.03960800326663944
PRIM,1.201933603084742,98.0,0.04001633319722336
STRL,1.1992877914371975,99.0,0.04042466312780727
REZI,1.1952211559579915,100.0,0.04083299305839118
BTDR,1.1938382845027191,101.0,0.04124132298897509
AAUC.TO,1.1909908882006768,102.0,0.041649652919559
NGEX.TO,1.188027109117955,103.0,0.042057982850142915
RMBS,1.1790045506738092,104.0,0.04246631278072683
SEDG,1.168816011622082,105.0,0.04287464271131074
