ticker,mom_12_1,ret_t_1,rank,pct_rank,quartile,signal
RGC,87.95465168394345,0.10679615485918048,1.0,0.0004100041000410004,Q1 (Top),LONG
QBTS,22.311321149393542,0.323350950000139,2.0,0.0008200082000820008,Q1 (Top),LONG
RGTI,21.568181614984166,0.34474656401942827,3.0,0.0012300123001230013,Q1 (Top),LONG
MFH,20.7522124136537,0.19650121801049258,4.0,0.0016400164001640015,Q1 (Top),LONG
QUBT,15.437499793778574,0.33731673238955673,5.0,0.002050020500205002,Q1 (Top),LONG
SUPX,12.301031629838288,0.16261040949304317,6.0,0.0024600246002460025,Q1 (Top),LONG
QMMM,11.594937477994064,0.0,7.0,0.002870028700287003,Q1 (Top),LONG
QURE,9.204545642112524,-0.05910571913776208,8.0,0.003280032800328003,Q1 (Top),LONG
ONDS,9.078329065427925,0.2836787715982687,9.0,0.0036900369003690036,Q1 (Top),LONG
FMCC,8.124031632416944,0.03313503606460677,10.0,0.004100041000410004,Q1 (Top),LONG
BE,7.80937461815776,0.06763629231812796,11.0,0.004510045100451004,Q1 (Top),LONG
FNMA,7.66906497463801,0.024896280994711528,12.0,0.004920049200492005,Q1 (Top),LONG
CDTX,6.366154010479266,0.06505843346448681,13.0,0.005330053300533005,Q1 (Top),LONG
TMC,5.440849081103116,0.16326530306707365,14.0,0.005740057400574006,Q1 (Top),LONG
HOOD,5.095359475134028,0.038343384369321054,15.0,0.006150061500615006,Q1 (Top),LONG
PL,4.873302858908419,0.17950700766965788,16.0,0.006560065600656006,Q1 (Top),LONG
DSV.TO,4.431578854906922,-0.02131776355234083,17.0,0.006970069700697007,Q1 (Top),LONG
DAVE,4.169865119392798,0.020466448193370068,18.0,0.007380073800738007,Q1 (Top),LONG
IREN,4.14583343136729,0.07521838389818969,19.0,0.007790077900779008,Q1 (Top),LONG
OKLO,3.9701692699796913,0.14091197477344708,20.0,0.008200082000820008,Q1 (Top),LONG
ORBS,3.6212118840341665,-0.09945353938258183,21.0,0.008610086100861008,Q1 (Top),LONG
OPEN,3.554285594395229,0.017565855730371283,22.0,0.009020090200902008,Q1 (Top),LONG
RKLB,3.47757015901316,0.17219787155657085,23.0,0.00943009430094301,Q1 (Top),LONG
PLTR,3.3893164615287876,-0.051255295135280154,24.0,0.00984009840098401,Q1 (Top),LONG
GRAL,3.3574062194465792,0.10848971731693835,25.0,0.01025010250102501,Q1 (Top),LONG
PSIX,3.349867207819826,-0.06047650547324768,26.0,0.01066010660106601,Q1 (Top),LONG
APP,3.241926799789895,-0.0497953758396964,27.0,0.01107011070110701,Q1 (Top),LONG
BBAI,3.1006288327379004,0.1027607481984587,28.0,0.011480114801148012,Q1 (Top),LONG
IONQ,3.091816439962267,0.1915446955983231,29.0,0.011890118901189012,Q1 (Top),LONG
KTOS,3.021567143836842,0.05275253967314253,30.0,0.012300123001230012,Q1 (Top),LONG
SSRM.TO,2.9511625622078395,-0.04061215676003549,31.0,0.012710127101271012,Q1 (Top),LONG
CGG.TO,2.940076947633346,0.028479706208637712,32.0,0.013120131201312012,Q1 (Top),LONG
CRDO,2.862334155533805,-0.011949766402516993,33.0,0.013530135301353014,Q1 (Top),LONG
INOD,2.8324215492640348,0.09173478296119697,34.0,0.013940139401394014,Q1 (Top),LONG
MP,2.7281823539820693,0.06605039996023199,35.0,0.014350143501435014,Q1 (Top),LONG
EOSE,2.6623796551516636,0.10623353833841809,36.0,0.014760147601476014,Q1 (Top),LONG
CLS.TO,2.5943535433285243,-0.04774142565841544,37.0,0.015170151701517014,Q1 (Top),LONG
APLD,2.393491088365258,0.156495207890603,38.0,0.015580155801558016,Q1 (Top),LONG
JOBY,2.3624997392296896,0.13135073850083812,39.0,0.015990159901599015,Q1 (Top),LONG
METC,2.3488872737854103,0.13739082741695108,40.0,0.016400164001640016,Q1 (Top),LONG
SGHC,2.328135897330161,0.06742426940779644,41.0,0.016810168101681018,Q1 (Top),LONG
SOUN,2.1968189369754967,0.11007465585582721,42.0,0.017220172201722016,Q1 (Top),LONG
CELC,2.187096872637349,0.022469570068187394,43.0,0.017630176301763018,Q1 (Top),LONG
ADPT,2.0909090013453895,-0.0387700482772122,44.0,0.018040180401804017,Q1 (Top),LONG
VSAT,2.0520831325815863,0.09419802758013174,45.0,0.01845018450184502,Q1 (Top),LONG
SATS,2.047087080513632,0.009952882794076912,46.0,0.01886018860188602,Q1 (Top),LONG
ACHR,2.041269724973958,0.20772440364992462,47.0,0.01927019270192702,Q1 (Top),LONG
HIMS,2.0122146282802365,-0.07369534935147459,48.0,0.01968019680196802,Q1 (Top),LONG
LEU,1.9868992834645338,0.10778205605423574,49.0,0.02009020090200902,Q1 (Top),LONG
CDE,1.9130434879186566,-0.00159918370359724,50.0,0.02050020500205002,Q1 (Top),LONG
GH,1.8555759569803953,0.005761853600978473,51.0,0.020910209102091022,Q1 (Top),LONG
MLYS,1.834080556398396,0.0036920678034304544,52.0,0.02132021320213202,Q1 (Top),LONG
LUG.TO,1.8116291838665046,0.012310087977065676,53.0,0.021730217302173022,Q1 (Top),LONG
EYE,1.806730923532741,-0.010962647789295454,54.0,0.02214022140221402,Q1 (Top),LONG
ALAB,1.7907638659018716,0.025229838429064788,55.0,0.022550225502255022,Q1 (Top),LONG
XMTR,1.7677845719533702,-0.054158265041826525,56.0,0.022960229602296024,Q1 (Top),LONG
DAN,1.6934492295454335,-0.005489052161985253,57.0,0.023370233702337023,Q1 (Top),LONG
RBLX,1.6782676141355628,-0.1142795361160831,58.0,0.023780237802378024,Q1 (Top),LONG
